Alexandre0;Picsou;0
Alexandre1;Picsou;2
Alexandre2;Picsou;4
Alexandre3;Picsou;6
Alexandre4;Picsou;8
Alexandre5;Picsou;10
Alexandre6;Picsou;12
Alexandre7;Picsou;14
Alexandre8;Picsou;16
Alexandre9;Picsou;18
Alexandre10;Picsou;20
Alexandre11;Picsou;22
Alexandre12;Picsou;24
Alexandre13;Picsou;26
Alexandre14;Picsou;28
Alexandre15;Picsou;30
Alexandre16;Picsou;32
Alexandre17;Picsou;34
Alexandre18;Picsou;36
Alexandre19;Picsou;38
Alexandre20;Picsou;40
Alexandre21;Picsou;42
Alexandre22;Picsou;44
Alexandre23;Picsou;46
Alexandre24;Picsou;48
Alexandre25;Picsou;50
Alexandre26;Picsou;52
Alexandre27;Picsou;54
Alexandre28;Picsou;56
Alexandre29;Picsou;58
Alexandre30;Picsou;60
Alexandre31;Picsou;62
Alexandre32;Picsou;64
Alexandre33;Picsou;66
Alexandre34;Picsou;68
Alexandre35;Picsou;70
Alexandre36;Picsou;72
Alexandre37;Picsou;74
Alexandre38;Picsou;76
Alexandre39;Picsou;78
Alexandre40;Picsou;80
Alexandre41;Picsou;82
Alexandre42;Picsou;84
Alexandre43;Picsou;86
Alexandre44;Picsou;88
Alexandre45;Picsou;90
Alexandre46;Picsou;92
Alexandre47;Picsou;94
Alexandre48;Picsou;96
Alexandre49;Picsou;98
Alexandre50;Picsou;100
Alexandre51;Picsou;102
Alexandre52;Picsou;104
Alexandre53;Picsou;106
Alexandre54;Picsou;108
Alexandre55;Picsou;110
Alexandre56;Picsou;112
Alexandre57;Picsou;114
Alexandre58;Picsou;116
Alexandre59;Picsou;118
Alexandre60;Picsou;120
Alexandre61;Picsou;122
Alexandre62;Picsou;124
Alexandre63;Picsou;126
Alexandre64;Picsou;128
Alexandre65;Picsou;130
Alexandre66;Picsou;132
Alexandre67;Picsou;134
Alexandre68;Picsou;136
Alexandre69;Picsou;138
Alexandre70;Picsou;140
Alexandre71;Picsou;142
Alexandre72;Picsou;144
Alexandre73;Picsou;146
Alexandre74;Picsou;148
Alexandre75;Picsou;150
Alexandre76;Picsou;152
Alexandre77;Picsou;154
Alexandre78;Picsou;156
Alexandre79;Picsou;158
Alexandre80;Picsou;160
Alexandre81;Picsou;162
Alexandre82;Picsou;164
Alexandre83;Picsou;166
Alexandre84;Picsou;168
Alexandre85;Picsou;170
Alexandre86;Picsou;172
Alexandre87;Picsou;174
Alexandre88;Picsou;176
Alexandre89;Picsou;178
Alexandre90;Picsou;180
Alexandre91;Picsou;182
Alexandre92;Picsou;184
Alexandre93;Picsou;186
Alexandre94;Picsou;188
Alexandre95;Picsou;190
Alexandre96;Picsou;192
Alexandre97;Picsou;194
Alexandre98;Picsou;196
Alexandre99;Picsou;198
Alexandre100;Picsou;200
Alexandre101;Picsou;202
Alexandre102;Picsou;204
Alexandre103;Picsou;206
Alexandre104;Picsou;208
Alexandre105;Picsou;210
Alexandre106;Picsou;212
Alexandre107;Picsou;214
Alexandre108;Picsou;216
Alexandre109;Picsou;218
Alexandre110;Picsou;220
Alexandre111;Picsou;222
Alexandre112;Picsou;224
Alexandre113;Picsou;226
Alexandre114;Picsou;228
Alexandre115;Picsou;230
